SLNo,InstitutionName,Address,Code, InstitutionType,ContactNumber,,
23,Acharya Pathashala Rural College of Engineering (So,Bangalore,C-1248,Technical,"91 (080) 2843 2837, 080-26602586",,
24,Acharya School of Design,Bangalore,C-53294,Degree/ Professional,80-2372 2222,,
25,Acharya School of Law,Bangalore,C-59662,Degree/ Professional,80 237 555 555,,
26,Acharyas Bangalore B School,Lingadeeranahalli,C-20933,Degree/ Professional,80 23245520,,
27,Acharya's N R School of Nursing,Bangalore,S-3907,Professional,80-2372 2222,,
28,Acharyas NRV School of Architecture (Soladevanahall,Bangalore,C-1414,Technical,91-80-2372 2222,,
29,Achutha Institute of Technology,Yelahanka,NEW-32,Technical,"080-28469333/444/555, 8892565783",,
30,ACS College of Engineering,Bangalore,C-1440,Technical,"080 2843 7956, 91-80-2843 7955 / 956",,
31,Adarsh Institute of Management & Information Techno,Bangalore,C-49753,Degree/ Professional,80 - 23480557,,
32,Adarsha College Of Nursing,Bangalore,C-40566,Professional,91 90 08 72 50 10,,
,,"Kodihalli, Hesaraghatta Post,",,,,,
33,Adarsha Film & TV Institute,,BMTC-122,Professional,9448017837/ 9845120646,,
,,Bengaluru-88,,,,,
34,Adarsha Polytechnic,Bangalore,S-1180,Professional,"8023332789, 9845219608",,
35,Adarsha Vidyakendra College of Nursing,Bangalore,C-40465,Professional,8050800897,,
36,Adithya Institue of Management Studies & Resarch,Yelahanka,C-20672,Degree/ Professional,80-28571292 /00-91-80-28571293,,
37,Aditya Academy of Architecture & Design,Bangalore,C-53295,Technical,078999 77602,,
,,"No. 12, Kogilu Main Road, Behind",,,,,
,Aditya Bangalore Institute of Pharmacy,,,,,,
38,,"Shree Annapurneshwari Temple,",BMTC-125,Professional,080-28571292,,
,Education and Research,,,,,,
,,"Maruthi Nagar, Yelahanka-64",,,,,
39,Adventist College of Nursing,Bangalore,C-40127,Professional,"91-80-28510069, +91-80-28517987",,
40,AECS Maaruti School of Nursing,Bangalore,S-3900,Professional,080 2658 0774,,
41,AECS Maruthi College of Dental Sciences,Bangalore,C-40368,Medical,"91-80-26583010, 91-80-26580774",,
42,AECS Maruthi College of Nursing,Bangalore,C-40319,Professional,"91-80-26583010, 91-80-26580774",,
43,Agragami Institute of Computers & Advanced Manageme,"Yalahanka New Town,Bangalore",C-57359,Degree/ Professional,"080-65319551, 32489794",,
,,"No. 15/1-A, 13th A Main Road, A",,,,,
44,Agragami Vidya Kendra,"Sector, Yelahanka New Town,",BMTC-31,Degree/ Professional,080-32489794/ 41757333,,
,,Bengaluru-106.,,,,,
45,Aishwarya Institute of Management Studies,Gnanaganganagar,C-20699,Degree/ Professional,"080 - 23240188, 9449000809,",,
46,Aishwarya School of Nursing,Bangalore,S-3911,Professional,080 25457789,,
47,AJ College of Nursing,Bangalore,C-40149,Professional,"(080) 22724956,9916516072, 9036197089",,
,,"Prasannahalli Road, Devanahalli,",,,,,
48,Akash Institute of Medical Sciences & Research Cent,re,C-56655,Medical,"080-71159900 & 01, 9739096999",,
,,Bengaluru-562110.,,,,,
49,Akkamahadevi School of Nursing,Bangalore,S-3912,Professional,080 2272 9472,,
,,"Lakshmi Theater Road, Near MBT",,,,,
50,Akshara first Grade College,,C-56440,Degree/ Professional,"767 691 1234, 767 691 6688",,
,,"Layout, Anekal-562106",,,,,
51,Akshya College,Byatrayanapura,C-21179,Degree/ Professional,N/A,,
52,Akson Academy College,R.T. Nagar,C-20915,Degree/ Professional,8023542565,,
53,Al Khateeb Polytechnic,Bangalore,S-1183,Professional,9900466905,,
54,Al-Ameen Arts,(Hosur,Road),C-21156,Degree/ Professional,080 2222 2402,
55,Al-Ameen College of Education,Hosur Road Near Lalbagh Main GateBangalore-27,C-21143,Professional,080 2211 2478 / 080 2222 2402,,
56,Al-Ameen College of Law,Bangalore,C-9786,Professional,080 22112563/9845330234,,
57,Al-Ameen College of Pharmacy,Bangalore,C-40298,Professional,"080-22234619, 22225834, 22235626",,
58,Al-Ameen Institute of Information Science,Hosur Road,C-20663,Degree/ Professional,"80-2222 1061, 98450 22287",,
59,Al-Ameen Institute Of Management Studies,Hosur Road,C-20852,Degree/ Professional,22279235/22114492,,
,,"Vishnu Chittam Building, No. 10,",,,,,
60,All India Institute of Local Self Government,"1st&2nd Floor, Siruru Park ,",BMTC-18,Degree/ Professional,080-41126990,,
,,"Sheshadripuram, Bengaluru-20",,,,,
61,Alliance Business,NS Palya,C-21118,Degree/ Professional,"91 80 26786020 / 21 , 26789749",,
62,Alliance College of engineering and design (Chikkah,Anekal,NEW-91,Technical,8030938051,,
63,Alliance school of law (Chandapura),"Chikkahegade Cross, Chandapura, Chandapura, Anekal",NEW-90,"Main Road,Bangalore - 526106",Degree/ Professional,,
64,Alliance School Of Management,Anekal,C-17496,Degree/ Professional,80 3093 8100/8200/4619 9100,,
65,Al-Mighty First Grade College,Nagavara Main Raod,C-21173,Degree/ Professional,(080) - 25435555,,
66,Alpha College of Engineering,Bangalore,C-1259,Technical,"91 80 28445218, +91 80 28445219",,
67,Ambedkar College of Education,J C Nagar,NEW-33,Professional,EA,,
68,Ambigara Chowdaia College of Education,Hegdenagar,C-20997,Professional,080 64544845 / 080 64544846,,
69,Ambigara Chowdaiah College of Nurisng,Bangalore,C-40489,Professional,"8296439460 / 8951740081, 080 64544845 / 080 64544846",,
70,Ambika College of Nursing,Bangalore,C-44836,Professional,"98880-87905, 78370-90006, 96460- 02607",,
71,Ambika School of Nursing,Bangalore,S-3921,Professional,"080 27730339, 27730338, 9845059794, +91 9538302100",,
72,AMC College of Engineering,Bangalore,C-1231,Technical,"9845148296 & 7349070707, 099020 44113",,
73,AMC Degree College (Bannerghatta),Bannerghatta,C-20960,Degree/ Professional,"9902044112, 9036016088",,
,,"No. 2, 3rd Main, West of Chord",,,,,
74,Amitha College Of Education,"Road, 2nd stage, Mahalakshmipura,",BMTC-11,Professional,080-23493434,,
,,Bengaluru-86.,,,,,
75,Amrita School of Engineering,Bangalore,C-52090,Technical,(80) 2518 3700/(80) 2843 9565,,
76,Amrutha Hospital & Training Center,"Amruthahalli,Bangalore",KA-01PMC-32,Professional/ Medical,"080-40928888, 8711093699",,
77,Amrutha Institute of Engineering & Management Scien,Bangalore,C-1436,Professional/ Technical,9741967161,,
,,"NO. 52, Rama Towers, Next to",,,,,
78,Animaster Academy College of Animation,"Baptist Hospital, Bellary Road,",C-56692,Professional,,,
,,"Hebbala, Bengaluru-24.",,,,,
79,Anthem Biosciences Pvt Ltd,Bommasnadra Industrial Area,C-17563,Professional,N/A,,
80,Anugraha B Ed College(SVS College of Education),Nagendra Block,C-20638,Professional,080-26729030/26420970,,
81,Anupama College of Education,Mahalakshmipuram,C-21046,Professional,080 – 23493096 / 23190332,,
82,Anupama College of Management and Science,Mahalakshmi PuramBangalore-86,C-20897,Degree/ Professional,080-23493096,,
83,Anupama School of Nursing,Bangalore,S-3927,Professional,"080 2349036, 23595391",,
84,Anuradha School of Nursing,Bangalore,S-3928,Professional,"08028365429, 08023203954",,
85,Apoorva Institute of Management Studies,Padmanabhanagara,NEW-34,Degree/ Professional,9066864001,,
86,Apparals Designers Academy,Horamavu,C-20722,Degree/ Professional,080 – 41634200,,
87,APS Polytechnic,Somanahalli,S-1177,Professional,"8028432234, 9449567558",,
,,"No 588, 1st Cross, 2nd Main, Dr.",,,,,
88,AR Institute of Paramedical College,"SKN Post, RK Hegde Nagara,",BMTC-52,Professional,8892703369/ 8296927474,,
,,Bengaluru-77.,,,,,
89,Army Institute of Fashion & Design,Dooravani Nagar,C-21138,Degree/ Professional,080 –25617559 / 25617309,,
,,,,Page 1,,,
,,,college list,,,,
90,Army Institute of Hotel Management & Catering TechnologyNagareshwaranagehalli,,C-20667,Degree/ Professional,"080 - 64543206/7,64546807",,
91,Arunodaya College,Bangalore,C-50738,Degree/ Professional,080 – 23241455,,
92,Arunodaya Institute of Legal Studies,Bangalore,C-9779,Degree/ Professional,080-2324-1455,,
93,ASC Degree College,Rajajinagara Industrial Area,C-20986,Degree/ Professional,080-23400194,,
94,ASC Silver Valley Degree College,Malleshwaram,NEW-35,Degree/ Professional,"60833, 60835",,
95,Ashoka Polytechnic,Kammagondanahalli,S-14077,Professional,"8023254941, 9108007413",,
96,Ashwini School of Nursing,Bangalore,S-3936,Professional,"080 2349036, 23595391",,
97,Asian Institute of Gaming & Animation,Bangalore,C-52318,Professional,8040480900,,
98,Atma College,Bangalore,C-54333,Degree/ Professional,98455 26633,,
99,Atreya Ayurvedic Medical College,Bangalore,C-44821,Medical,"91-80-27601384 / 27601385 / 25288630/ 25254654, 9620217802",,
100,Atria Institute of Technology,Bangalore,C-1264,Technical,"080 2354 7292, 080 2363 1298/ 96662 47700",,
101,AVK School of Nursing,Bangalore,S-3903,Professional,080 2671 9531,,
102,Azim Premji University,"PES IT Campus, Hosur Road, Beside NICE Road, Electr",NEW-11,"onic City, Bangalore 560100",Degree/ Professional,080-66145136,
103,Azim Premji University,"Sarjapur Main Road, Sree Narayana Nagar, Chikkadunn",NEW-9,"asandra, Bengaluru,",Degree/ Professional,078999 19677,
104,B W Lions Super Specialty Eye Hospital,J C Road Bangalore,NEW-2,Medical,"080-2223 7628/22121253/55, 9538397151",,
105,Baghirathi Bai Narayana Rao Mane College,Banashanakari IInd Stage,C-21201,Degree/ Professional,80-26711782,,
106,Baldwin Methodist College,Richmond Town,C-21171,Degree/ Professional,080 - 41523561/ 41523562,,
107,Baldwin Polytechnic,Bangalore,S-1197,Professional,9448388079,,
108,Baldwin Womens Methodist College,Richmond Town,C-20634,Degree/ Professional,080- 41523561,,
109,Banasawadi College of Nursing,Bangalore,C-40306,Professional,"91 80 25433258, 8317397935 +91 9886991515",,
110,Bangalore,Bangalore,C-40405,Medical,91 80 2670 0810,,
111,Bangalore Baptist College Of Nursing,Bangalore,C-56705,Professional,80 22024700 / 46404700,,
112,Bangalore City College,Banasawadi Outer Ring Road,C-20744,Degree/ Professional,080 25459956,,
113,Bangalore City College of Education,Banasawadi Outer Ring Road,C-20646,Professional,099005 68523 / 093413 49598,,
114,Bangalore City College of Nursing,Banasawadi Outer Ring Road,C-47418,Professional,"91 94481 38692 , +91 9844019586, +91 98444 44791",,
115,Bangalore City School of Nursing,Bangalore,S-3951,Professional,80-2545 9956 / 2543 9953 / 2543 9954 / 2543 9955,,
116,Bangalore College of Education,Chandapura,C-20979,Professional,"080-7834822, 7870526",,
117,Bangalore College of Engineering & Tech,Bangalore,C-1260,Technical,"9611686210, 9611686186",,
,,"No. 33/1, Byarathi Ext. Opp.Bible",,,,,
118,Bangalore College of Management Studies,"College, Hennur-Baglur Main",C-58550,Degree/ Professional,06360540453/ 080-95202122/ 8050065101,,
,,"Road, Kothnur Post, Bengaluru-77",,,,,
119,Bangalore Institute of,Bangalore,S-3953,Degree/ Professional,"080 28443064, 9632030016",,
120,Bangalore Institute of Dental Sciences & Hospital,Bangalore,C-40189,Medical,"91-80-26562777, 26564332",,
121,Bangalore Institute of Legal Studies,Basavangudi,C-9832,Professional,80-26933227,,
,,"No. 35, Mysore Road, Bengaluru-",,,,,
122,Bangalore Institute of Management Studies,,BMTC-146,Degree/ Professional,7406665565/ 9880541668,,
,,59,,,,,
123,Bangalore Institute of Technology,Bangalore,C-1340,Technical,"91-080-26615865 , 26613237",,
124,Bangalore Instiute of International Management,RVCE Mysore Road,C-20919,Degree/ Professional,080 – 28605726/27,,
125,Bangalore Instiute of Management Studies,R V College,C-21029,Degree/ Professional,080–28601471,,
126,Bangalore International College,Marathahalli,NEW-4,Degree/ Professional,8892215197,,
127,Bangalore Management College,Sanjayanagar,C-20962,Degree/ Professional,080 – 65970044,,
128,Bangalore Medical College,Bangalore,C-40314,Medical,91 80 2670 0810,,
129,Bangalore School of Interior Design,Bangalore,C-58005,professional,"+91 7204 006 339,",+91 9845 779 000,
130,Bangalore Technological Institute,Bangalore,C-1418,Technical,080 2843 9686 | 7090404050,,
131,Bangalore University (Deparment of microbiology & B,Jnanabharthi campus,NEW-95,professional,080-22961000,,
132,Bangalore University (Department of Architecture),Jnanabharthi campus,NEW-6,professional,080 22961811,,
133,Bangalore University (Department of Coumputer Scien,Jnanabharthi campus,NEW-19,professional,8022961453,,
134,Bangalore University (Department of Life Science),Jnanabharthi campus,NEW-94,professional,"080-22961923,1521",,
135,Bangalore University (Department of Management),Jnanabharthi campus,C-7029,professional,80-2293 3272,,
136,Bangalore University (Department of Mathematics),Jnanabharthi campus,NEW-96,professional,8022461439,,
137,Bangalore University (Department of Sociology),Jnanabharthi campus,NEW-8,professional,8022961771,,
138,Bangalore University (Department of Zoology),Jnanabharthi campus,NEW-93,professional,"080-22961551, 23215353",,
139,Bangalore University (MCA),Jnanabharthi campus,NEW-92,professional,080 22961453,,
140,Bapu College of Education,Yeshwanthapura,C-21005,professional,8023378423,,
141,Bapu College of Management Studies,Thalaghattapura,C-21064,Degree/ Professional,"9741913476, 080-28435194",,
142,Bapu Degree College,Yeshwanthapura,C-20869,Degree/ Professional,"085535 39272, 080 – 22792890",,
143,Basavashree College of Law,Kolar,C-9783,professional,9845329389,,
144,Basaveshwara College of Arts Science and Commerce,Rajajinagar ESI,C-20823,Degree/ Professional,080 - 23324500,,
145,Basaveshwara College of Education,Vijayanagar,C-21123,professional,N/A,,
146,Basaveshwara Degree College,Vijayanagar,C-20989,Degree/ Professional,91 80 2332 4500,,
147,BBMP First Grade College,Kasturaba Nagar,C-21202,Degree/ Professional,9480588714,,
148,BBMP First Grade College For Women (Frazer Town),Frazer Town,9C,BNU,Degree/ Professional,BNU-9C,
149,BBMP First Grade College (Magadi Road),Magadi Road,C-57251,Degree/ Professional,"9620495356, 080 23503955",,
150,BBMP Women First Grade College (Byraveshwara Nagara,Byraveshwara Nagara,C-52107,Degree/ Professional,9902429790,,
151,BEL First Grade College,Jalahalli BEL Circle,C-20791,Degree/ Professional,8022195737,,
,,"Dr. B R Ambedkar Veedi,",,,,,
152,"Bengaluru Central University, Central College",,BMTC-167,Degree/ Professional,080-22131385,,
,,Bengaluru-01,,,,,
153,Bengaluru Dr BR Ambedkar School of Economics,Bangalore,C-58665,Degree/ Professional,080-22243350,,
,,"General Hospital, Jayanagara 4th T",,,,,
154,Bengaluru Institute Paramedical Sciences,,BMTC-156,professional,9845980708/ 080-26637078,,
,,"Block, Bengaluru-41.",,,,,
155,Bengaluru Law College,Bangalore,C-56691,professional,8861476826,,
156,BES College of Education,4th block Jayanagar,C-20750,professional,080 - 26637295,,
157,BES College of Law,4th block Jayanagar,C-9816,professional,080-26630499,,
158,BES Degree College,4th block Jayanagar,C-20660,Degree/ Professional,8026638415,,
159,BES Institute of Pharmacy,4th block Jayanagar,PR-516,Professional,9342244449,,
160,BES Institute of Technology,Bangalore,S-1189,Technical,7795217337,,
161,BET College of Management and Science,Dodda Banasawadi,C-21099,Degree/ Professional,080 –25452832/25452302,,
,,"Bismillah Nagar, BG Road Cross,",,,,,
162,BET Sadathunnisa Degree College,,C-20875,Degree/ Professional,08041466334 / 26688154/ 9980340172/ 9620060782,,
,,Bengaluru-29,,,,,
163,Bethel International College of Commerce,"Laggere Bridge, Bengaluru-58.",BMTC-77,Degree/ Professional,9886465136,,
164,BGS Global Institute of Medical Sciences,Bangalore,C-55122,Medical,"99001 26444 , 080 28611496",,
,,"BB Road, SJCIT Campus,",,,,,
165,BGS Polytechnic,,BMTC-45,Professional,08156-263027/ 9845271356,,
,,Chikkballapur-562102.,,,,,
166,Bhagath College of Nursing,Bangalore,C-40496,Professional,"080 - 32528443, 9916541232",,
167,Bhagavan Buddha First Grade College of Arts and Com,Nagarabhavi Main Raod,C-20604,Degree/ Professional,"080-23212354, 23356842,23211056",,
168,Bhagawan Mahaveer Jain College of Nursing,Bangalore,C-40334,Professional,080-22254639,,
169,Bhagwan Buddha Homoeopathic,Mallathahalli,C-40347,Medical,"91 8150011511, +91 9538302100",,
,Bharath Education Society Teachers Training,"No. 27, 16th Main, 4th Block,",,,,,
170,,,AS-0023,Professional,080-22449511,,
,Institute,"Jayanagar, Bengaluru-11",,,,,
171,Bharath Matha Womens College,Hanumanthanagara,C-20821,Degree/ Professional,080 – 26672836,,
172,Bharatheeya Samskrithi Vidyapith Commerce College,Malagala,NEW-10,Degree/ Professional,"080-23210305, 9845415347",,
173,Bharathiya Samskruti Vidyapitha Arts & Science,Vijayanagar,C-20834,Degree/ Professional,080 – 23301184,,
174,Bharatiya Vidya Foundation College,Wilson Garden 6th Cross,C-20913,Degree/ Professional,080 – 22484302,,
175,Bheema Chandra Paramedical Institute,Raghuvinahalli,PMB - 49,professional,8065466176,,
176,Bhuvan College of Nursing,Bangalore,C-40183,professional,"9448079180, 080-22712111",,
177,Bhuvan ITI,Yelahanka,PR29000208,professional,9448014408,,
178,Bhuvan Law College(Venkatala),"Venkatala, Yelahanka",C-56780,professional,080-28571600,,
179,Bhuvan Polytechnic,Yelahanka,S-1201,professional,7795217337,,
180,Bhuvan School of Nursing,Bangalore,S-3963,professional,"098806 06006, : 080- 23281434",,
,,"Venkatala, Yelahanka, Bengaluru-",,,,,
181,Bhuvana New College,,BMTC-101,Degree/ Professional,080-28571600/ 28571900,,
,,64,,,,,
,,"No. 5, Jamia Educational Complex,",,,,,
182,Bibi Fathima ITI,"Ilyasanagar, Sarakki Gate,",BMTC-131,professional,26710389/ 9448226652,,
,,Bengaluru-78.,,,,,
183,Bilhara Academy of Nursing Sciences,Bangalore,S-3964,professional,N/A,,
,,"Sonnenahalli, Byatha Post,",,,,,
184,Bilwaa ITI,,PR29001138,professional,8453552264,,
,,Bengaluru-89.,,,,,
185,Bishop Cotton Academy of Professional Management,Yelahanka New Town,C-20700,Degree/ Professional,080-28566099/399,,
,,,,Page 2,,,
,,,college list,,,,
186,Bishop Cotton Women Christian Law College,Bangalore,,professional,080-22121898,,
187,Bishop Cotton Women College,Field Marshal Kariyappa Road,,Degree/ Professional,080– 22212933 / 22129880,,
188,BJR College of Nursing,Bangalore,,professional,9945030065,,
189,"BMA College of Arts,","Siddareddy Layout, Outerring Road, Doddanekkundi Cr","oss, Bangalore 560 037",Degree/ Professional,"08043544116, 09035751923",,
190,BMS,Bangalore,,professional,080 - 2667 9336 / 2660 2430,,
191,BMS,Bangalore,,professional,080 22423966,,
192,BMS College for Womens,Basvanagudi,,Degree/ Professional,080 – 26601836 / 26676729,,
193,BMS College of Architecture,Bangalore,,Technical,91-80-26622126 / 127,,
,,"No.17, 1st Cross, Gavipuram Extn.",,,,,
194,BMS College of Commerce and Management,,,Degree/ Professional,080-26610174/ 9611988200,,
,,"Bull Temple Road, Bengaluru-19.",,,,,
195,BMS College of Engineering,Basavanagudi,,Technical,80-26622130-35,,
196,BMS Hospital Nursing School,Bangalore,,professional,"080 2661 3993,",9900013232,
197,BMS Institute of Technology,Bangalore,,Technical,080-28561576,,
198,BMS School of Architecture,Yelahanka,,Technical,8028463208,,
199,BNES First Grade College,Mahalakshmi Layout,,Degree/ Professional,080- 23195140,,
200,BNM Degree College,BSK 2nd Stage,,Degree/ Professional,080-26713243,,
201,BNM Institute of Technology,Bangalore,,Technical,+91 802 6711 781 / 2,,
202,Bowring & Lady Curzon Hospital Nursing School,Bangalore,,professional,080 2559 1325,,
203,Brilliant College,Yalachenahalli,,Degree/ Professional,080 – 26664573,,
204,Brindavan College,Bhoopsandra,,Degree/ Professional,080 – 43317716,,
205,Brindavan College of Engineering,Dwarakanagar Yelahanka,,Technical,+91 80 2847 8388 / 8423,,
206,Brite College of Nursing,Bangalore,,professional,080-23480556,,
207,Brite Institute of Management & Science (AVK Bright,Chikkagollarahatti Magadi Road,C-20761,Degree/ Professional,"08023480556, 23480557",,
208,Brite School of Nursing,Bangalore,,Professional,080 2348 0556,,
209,BSBS Business Academy,Bangalore,,Degree/ Professional,"80 4120 8707, 7760290033",,
210,BSF Institute of Technology,Bangalore,,Technical,"807833055, 9845375940",,
211,BSV Degree College,Chamarajpete,,Degree/ Professional,080 26679434,,
212,BTL First Grade College,Bommasandra Industrial area,,Degree/ Professional,080-27833831 / 17832379,,
213,BTL Institute of Technology Management,Bangalore,,Technical,+91 802 783 3055,,
214,BTL ITI,Bommasandra Industrial area,,Professional,8027835250,,
215,BTL Polytechnic,Bommasandra Industrial area,,Professional,"807833055, 9845375940",,
216,BTM First Grade College,BTM Layout 2nd Stage,,Degree/ Professional,080 - 32986074,,
217,BVK Shraddha School of Nursing,Bangalore,,Professional,"080 64544845,","8296439460 , 8951740081.",
218,Cambridge Institute of Technology,K R Puram,,Technical,8025618799,,
219,Cambridge Institute of Technology (North Campus),"Kundana Post, Devanahalli",,Technical,9071775585,,
220,Canara Bank School of Management Studies (K R Circl,"Central College Campus, K R Circle",NEW-13,Degree/ Professional,"080 22961971, 22961972",,
221,Capitol Teachers Training College,"RBI Layout,JP Nagar7th Phase",,professional,"08026851095, 26851104",,
222,Cauvery B Ed College,Sahakaranagar,,professional,080 - 23628448 / 23627749,,
223,Cauvery First Grade College,Sahakaranagar,,Degree/ Professional,080–23628449,,
,,"Plot No. 56-04, Dr. Bendre Layout,",,,,,
224,Cavalier Animation and Media College,"Gubbi Cross, Kothnur, Bengaluru-",,professional,9786485554/ 080-41732580,,
,,77,,,,,
225,CB Bandari Jain College,Shankar Puram,,Degree/ Professional,80 - 26611924 / 41600090,,
226,Center for Management Studies Jain University,Lal bagh,,Degree/ Professional,080-43430200,,
227,Centre of Soft Matter Research,Jalahalli,,Degree/ Professional,91-80-2308 4200,,
,,"No. 789, 1st Floor, Major Sandeep,",,,,,
228,CES Institute of Fashion Technology,"Unnikrishnan Road, Near Just Back",,Technical,9964217700/ 9964317700,,
,,"Mother Dairy Circle, Bengaluru-64.",,,,,
229,Chaitanya School of Nursing,Bangalore,,professional,"094756 41766, 080 283536086, 28536258",,
230,Chamarajpet First Grade College,Chamarajpet,,Degree/ Professional,080 – 22422830,,
231,Charans Degree College,Bangalore,,Degree/ Professional,080 25563664,,
,,"Behind Multi Corner Apartment,",,,,,
232,Chetana Lalitakala Mahavidyalaya,,,Degree/ Professional,080-23517646/ 9972027514,,
,,"Nagashettihalli,",,,,,
233,Chinai College of Nursing,Bangalore,,professional,"(91)(80) 2573 0954 / 2573 0956, 9035073444",,
234,Chinai School of Nursing,Bangalore,,professional,"080 2573 0954,",9886910660,
235,Chinmaya Institute of Management,CMH Road Indiranagar,,Degree/ Professional,080 –25476509/41252084,,
236,Chinmaya Institute of Nursing,Bangalore,,professional,"9880514513, 9241088611.",,
237,Chinnamma Junjappa,Marathahalli,,Degree/ Professional,080 - 25222555/25401555,,
238,Chitrakoota Institute of Information Sciences,Tippagondanahalli,,Degree/ Professional,"9041761367, 9141937225",,
239,Christ,Kengeri,,Technical,Technical,,
240,Christ Academy Institute For Advanced Sudies,Bangalore,,Degree/ Professional,8884444462,,
241,Christ Academy Institute of Law,Bangalore,,professional,91 8884444462,,
,,"Hosur-Malur Main Road, Alambadi",,,,,
242,Christ College of Science and Management,,,Degree/ Professional,9740428530/ 0851238733,,
,,Malur-563160,,,,,
243,Christ Deemed to be University (Hulimavu),Hulimavu,,Professional,Professional,,
244,Christ Deemed to be University (Suddeguntepalya),Suddeguntepalya,,Professional,Professional,,
,,"Kowdenahallli, Ramamurthynagara",,,,,
245,Christ the King College,,,Degree/ Professional,9740948205/ 9902552519,,
,,"Post, Bengaluru-16.",,,,,
246,Christian College of Nursing,Bangalore,,professional,"080 -23689995,96,97,98,99,91 98450 44494, 8722494864",,
247,Christian Institute of Management,Bangalore,,Degree/ Professional,91-44-26251530 – 33.,,
248,Church of South India Goodwill Polytechnic,Bangalore,,professional,9845779570,,
249,Church of South India Hospital,Bangalore,,Medical,080 2286 1103,,
250,City College,7th block Jayanagar,,Degree/ Professional,080 – 26649277,,
251,City Engineering College,Bangalore,,Technical,080-22560313,,
252,CMA B Ed College,Cubbonpet,,professional,"07676991188, 08065301664",,
253,CMR Centre for Business Studies,OMBR Layout Bhuvanagiri,,Degree/ Professional,080 – 25453077 / 88,,
254,CMR Centre for Media Studies,OMBR Layout Bhuvanagiri,,Degree/ Professional,080 – 25453077,,
255,CMR College of Education,s,,professional,9986608660/ 9448152720,,
256,CMR College of Nursing,Bangalore,,professional,+91 9964480444,,
257,CMR College of Pharmacy,Bangalore,,Professional,80 - 25453077,,
258,CMR Institute of Management Studies,HBR layout Kalyana Nagar,,Degree/ Professional,80 25426977/ 88/ 25427700,,
259,CMR institute of Technology,AECS Layout,,Technical,8028484848,,
260,CMR Law School,Bangalore,,Professional,80 25453077,,
261,CMR School of Nursing,Bangalore,,Professional,"09341179666, 9342357333",,
262,CMR University,HBR layout Kalyana Nagar,,Degree/ Professional/Technical,U-0723,,
263,CNK College of Nursing,Hebbal,,Professional,N/A,,
264,CNK Institute of Business Management,Bangalore,,Degree/ Professional,"08025295342, 7760473597",,
265,CNK Reddy College of Business Management,Indiranagar,,Degree/ Professional,080 – 25251847 /25290719,,
266,College of Horticulture,Bangalore,,Professional,080-29720568,,
267,College of Nursing,St. Martha's Hospital,,Professional,"080-22293956,669,40128213,239,265, 9449121971",,
268,Colombia College,Kothanur Dinne,,Degree/ Professional,080 – 65414746 / 41717081,,
269,Colombia College of Nursing,Bangalore,,professional,"080-23241517,84, 9880986925",,
270,Command Hospital,Bangalore,,Medical,080-5369030,,
271,Community Institute of Commerce & Management Studie,2 Block Jayangar,C-20662,Degree/ Professional,080 – 32413788 / 26577851/26566444 / 32413788,,
,,"No. 30, Laskar Hosur Road,",,,,,
272,CREO Valley College,"Opposite to adugodi Police Station,",,Degree/ Professional,7975788097,,
,,"Adugodi, Bengaluru-30.",,,,,
